question,answer,answer_index,opa,opb,opc,opd,generated_explanation,subject_name,cleaned_question
The penetration of the fissure sealant into the fissure:,Must occur before the polymerization of the material,opd,Is not influenced by the wettability of the enamel,Is independent of the chemical composition of the enamel,Is the result of a chemical bond between the sealant and enamel,Must occur before the polymerization of the material,The penetration of the fissure sealant into the fissure: Must occur before the polymerization of the material. ,Dental,penetration fissure sealant fissure
Which of the following markers is not used in quadruple test for antenatal detection of Down syndrome?,Estradiol,opc,AFP,ss-hCG,Estradiol,Inhibin,Which of the following markers is not used in quadruple test for antenatal detection of Down syndrome? Estradiol. Here is an additional explanation: Quadruple test is the second trimester measurement of maternal serum 1 Alpha fetoprotein ( MSAFP) : decreased2 unconjugated estriol: decreased3 HCG: increased4 Inhibin A : increased - It is done between 15 - 20 weeks,Gynaecology & Obstetrics,following markers used quadruple test antenatal detection syndrome
High Cu alloys have all of the following except:,High corrosion,opc,High tensile strength,Low creep,High corrosion,None of the above,High Cu alloys have all of the following except: High corrosion. ,Dental,High Cu alloys following except
"When soft palate is paralysed, which is not seen?",Clefting of the palate,opa,Clefting of the palate,Nasal regurgitation,Nasal twang,Flat palate,"When soft palate is paralysed, which is not seen? Clefting of the palate. ",Surgery,soft palate paralysed seen
Sentinel lymph node biopsy is most useful for:,Carcinoma vulva,opc,Carcinoma cervix,Carcinoma endometrium,Carcinoma vulva,Carcinoma vagina,"Sentinel lymph node biopsy is most useful for: Carcinoma vulva. Here is an additional explanation: SLN biopsy is usually done in: CA breast, CA penis & Malignant melanoma SLN biopsy is also applied successfully in cancers of head & neck & vulva",Surgery,Sentinel lymph node biopsy useful
Atropine is not an antidote in:,Endrin,opb,Tik 20,Endrin,Baygon,Parathion,Atropine is not an antidote in: Endrin. Here is an additional explanation: Atropine is used for organophosphate and carbamate poisoning but not for organochloride poisoining. Since endrin is an organochloride so atropine is not an antidote for endrin.,Forensic Medicine,Atropine antidote
"As per mental health care act, an individual with a known psychotic disorder on treatment and is not a minor, can choose to decide the caretaker and the course of treatment. This is called as:-",Advance directive,opa,Advance directive,Treatment directive,Mental will,Future directive,"As per mental health care act, an individual with a known psychotic disorder on treatment and is not a minor, can choose to decide the caretaker and the course of treatment. This is called as:- Advance directive. Here is an additional explanation: Advance directives:- Every person except minor has right to take advance directive by writing. It empowers the patient to choose his/her treatment and appoint a representative to take decision on behalf of patient. If patient is minor, his/her parent or caretaker will act as representative.",Forensic Medicine,per mental health care act individual known psychotic disorder treatment minor choose decide caretaker course treatment called
"In a population of 10000 people, the prevalence of a disease is 20%. The sensitivity of a screening test is 95% and specificity is 80%. The positive predictive value of the test will be -",54.30%,opb,45.70%,54.30%,15.30%,98.50%,"In a population of 10000 people, the prevalence of a disease is 20%. The sensitivity of a screening test is 95% and specificity is 80%. The positive predictive value of the test will be - 54.30%. Here is an additional explanation: In the given question,
Sensitivity = 95%
Specificity = 80%
Prevalence = 20%
Thus,",Social & Preventive Medicine,population people prevalence disease sensitivity screening test specificity positive predictive value test
Which of the following is the most commonly used drug for management of community acquired pneumonia?,Azithromycin,opc,Vancomycin,Ceftriaxone,Azithromycin,Streptomycin,"Which of the following is the most commonly used drug for management of community acquired pneumonia? Azithromycin. Here is an additional explanation: Azithromycin for management of pneumococcal pneumonia Modality Regimen Previously healthy and no antibiotics in past 3 months: A macrolide or Doxycycline (100 mg PO BD) Comorbidities or antibiotics in past 3 months: select an alternative from a different class Fluoroquinolone or A b- lactam plus a macrolide In regions with a high rate of ""high-level"" pneumococcal macrolide resistance,consider alternatives listed above for patients with comorbidities",Medicine,following commonly used drug management community acquired pneumonia
Water powder ratio for class IV stone is:,0.22-0.24,opa,0.22-0.24,0.24-0.28,0.65-0.70,0.45-0.50,Water powder ratio for class IV stone is: 0.22-0.24. ,Dental,Water powder ratio class IV stone
Most specific for diagnosing Ankylosing spondyliti?,B/l sactoilitis,opb,HLA B27,B/l sactoilitis,Lumbar movement,ESR,"Most specific for diagnosing Ankylosing spondyliti? B/l sactoilitis. Here is an additional explanation: According to Modified New York criteria, the diagnosis of definite AS requires the following: established sacroiliitis on radiographs (unilateral or bilateral) and at least one of the following clinical criteria: (1) low back pain and stiffness for more than 3 months improving with activity, (2) reduced chest expansion (3) limited lumbar movements. HLA B27 is present in > 90% cases of ankylosing spondylitis but it is not specific for AS.",Orthopaedics,specific diagnosing Ankylosing spondyliti
Abnormality in elastin protein can lead to all except ?,Fractures,opa,Fractures,Joint laxity,Aoic aneurysm,Subluxation of lens,"Abnormality in elastin protein can lead to all except ? Fractures. Here is an additional explanation: Ans. A. FracturesRef Clinical Outcomes of Elastin Fibre DeJbcts, J Cytol Histol 201 3, 4: IAbnormality in elastin protein can lead to abnormality in nrany systern.It can lead to aoic aneurysm, joint laxity and subluxation of lens.",Pathology,Abnormality elastin protein lead except
"A 40 years old female is diagnosed to have epilepsy and is staed phenytoin and valproate. Four weeks later, she developed a diffuse rash all over her body, which gradually disappeared on stopping both the drugs. In how many weeks, will the rash reappear when she is re-challenged with phenytoin and valproate?",1 day,opa,1 day,1 week,2 weeks,4 weeks,"A 40 years old female is diagnosed to have epilepsy and is staed phenytoin and valproate. Four weeks later, she developed a diffuse rash all over her body, which gradually disappeared on stopping both the drugs. In how many weeks, will the rash reappear when she is re-challenged with phenytoin and valproate? 1 day. Here is an additional explanation: Ans: A. 1 day(Ref: Harrison 19/c p382, 18/c p3263; Goodman Gillman 12/c p592; Andrews' Diseases of the Skin: Clinical Dermatology By William D. Tames Timothy Berger, Dirk Elstoulp 113)Phenytoin Hypersensitivity Syndrome (PHS):Hypersensitivity due to anti-epileptic drugs.Type 4 Hypersensitivity reaction (Steven-Johnson Syndrome).Usually at 3-4 weeks.On re-challenging drug - pre-formed mediators released much quicker - Causes rashes - On same day of staing treatment.",Medicine,years old female diagnosed epilepsy staed phenytoin valproate Four weeks later developed diffuse rash body gradually disappeared stopping drugs many weeks rash reappear phenytoin valproate
"A patient of HIV is on treatment with indinavir, zidovudine, lamivudine and ketoconazole. He developed nephrolithiasis, hyperlipidemia, central obesity, hyperglycemia and insulin resistance. Which of the following drug is likely to produce above adverse effects?",Indinavir,opb,Lamivudine,Indinavir,Zidovudine,Ketoconazole,"A patient of HIV is on treatment with indinavir, zidovudine, lamivudine and ketoconazole. He developed nephrolithiasis, hyperlipidemia, central obesity, hyperglycemia and insulin resistance. Which of the following drug is likely to produce above adverse effects? Indinavir. Here is an additional explanation: Protease inhibitors (-navirs) can cause lipodystrophy syndrome characterized by weight gain, increased glucose, increased lipids and insulin resistance. Lipodystrophy syndrome can also be caused by anti-psychotic drugs. Special side effects of various protease inhibitors: Indinavir: Renal stones Tipranavir: Intracranial hemorrhage Saquinavir: QT prolongation. Atazanavir: Hyperbilirubinemia.",Pharmacology,patient HIV treatment indinavir zidovudine lamivudine ketoconazole developed nephrolithiasis hyperlipidemia central obesity hyperglycemia insulin resistance following drug likely produce adverse effects
What is the most common tumor of mediastinum?,Neurogenic,opa,Neurogenic,Thymoma,Lymphoma,Metastatic tumor,"What is the most common tumor of mediastinum? Neurogenic. Here is an additional explanation: Answer- A. Neurogenicthe most common mediastinal masses are neurogenic tumors (23%), thymomas (21%), lymphomas (13%) and germ cell tumors (12%). Mediastinal masses are most frequently located in the anterosuperior mediastinum (54%), with the posterior (26%) and middle mediastinum (20%) being less frequently involved",Medicine,common tumor mediastinum
"A new method of measuring Haemoglobin levels has been developed. Ten successive readings of a single sample are as follows: 9.4, 10.4, 9.6, 9.1, 10.8, 12.1, 10.1, 9.8, 9.2, 9.5. But the Haemoglobin measured by standard calorimetry was 10.2. Therefore the given method has","High validity, low reliability",opb,"Low validity, low reliability","High validity, low reliability","High validity, high reliability","Low validity, high reliability","A new method of measuring Haemoglobin levels has been developed. Ten successive readings of a single sample are as follows: 9.4, 10.4, 9.6, 9.1, 10.8, 12.1, 10.1, 9.8, 9.2, 9.5. But the Haemoglobin measured by standard calorimetry was 10.2. Therefore the given method has High validity, low reliability. Here is an additional explanation: Reliability is precision (repeatability) and Validity is accuracy (close to true/actual value)

In the given question, 10 successive readings are all different and they have a mean value of 9.4+10.4+9.6+9.1+10.8+12.1+10.1+9.8+9.2+9.5/10 = 10.0
Thus it has low reliability (non-consistent) and high validity (close to true/actual value of 10.2)",Social & Preventive Medicine,new method measuring Haemoglobin levels developed Ten successive readings single sample follows Haemoglobin measured standard calorimetry Therefore given method
Using stopko tip irrigation which of these is used cleaning and drying of pulp chamber:,95% ethanol + 17% EDTA,opd,5.25% NaOCl + 17% EDTA,95% alcohol+17% EDTA,5.25 NaOCl+17% CHX,95% ethanol + 17% EDTA,"Using stopko tip irrigation which of these is used cleaning and drying of pulp chamber: 95% ethanol + 17% EDTA. Here is an additional explanation: Direct lines from book ""warming of NaOCI to 122° F
(50' C) leads to increase in collagen dissolution
as potential to disinfecting, but it can leads to
detrimental corrosion effects on NiTi instruments
immersion for 1 hr"".",Dental,Using stopko tip irrigation used cleaning drying pulp chamber
Ideal route of drug delivery in neonatal resuscitation is:,Through umbilical vein,opb,Intraosseous,Through umbilical vein,Through peripheral vein,Through umbilical aery,"Ideal route of drug delivery in neonatal resuscitation is: Through umbilical vein. Here is an additional explanation: Ans: B. Through umbilical vein(Ref: Ghai 8/e p132).Umbilical vein - Preferred route for drug delivery during resuscitation.Due to ease of approach.Veins in scalp or extremities are difficult to access during resuscitation.For umbilical vein catheterization, 3.5 Fr or 5 Fr umbilical catheter inseed into umbilical vein such that its tip is just inside the skin surface and there is free flow of blood.Direct injection into umbilical cord is not desirable.No intracardiac injection recommended.",Pediatrics,Ideal route drug delivery neonatal resuscitation
Which of the following drugs used for management of preterm labor for also has Neuro- protective role in fetus:-,MgSO4,opa,MgSO4,Nifedipine,Ritodrine,Isoxsuprine,Which of the following drugs used for management of preterm labor for also has Neuro- protective role in fetus:- MgSO4. Here is an additional explanation: Preterm labour is labour staing before 37 weeks MANAGEMENT FOR PRETERM LABOUR :- 1) For lung maturity - steroids 2) Tocolytics E.g. - Nifedipine - First line & safest drug MgSo4 - Neuroprotective Very low bih wt. neonates whose mothers were treated with MgSo4 for preterm labor or preeclampsia were found to have a reduced incidence of cerebral palsy at 3 years. Rate of both neonatal death & cerebral palsy were lower in the Mg treated group.,Gynaecology & Obstetrics,following drugs used management preterm labor also protective role fetus
Most modern precapsulated dental amalgam formulated with,40-45% hg by wt.,opb,50-55% hg by wt.,40-45% hg by wt.,25-35% hg by wt.,15-25% hg by wt.,Most modern precapsulated dental amalgam formulated with 40-45% hg by wt.. ,Dental,modern precapsulated dental amalgam formulated
Which of the following hormones will be affected most after the change in sex hormone binding globulin?,Testosterone,opa,Testosterone,Estrogen,Progesterone,DHEA,"Which of the following hormones will be affected most after the change in sex hormone binding globulin? Testosterone. Here is an additional explanation: Ans: A. Testosterone(Ref Ganong 25/e p 422, 24/e p424; Harper 30/e p 516. 517)Testosterone binds to SHBG with higher affinity than does estradiol.Hence SHBG level change a Greater change in free testosterone level than in free estradiol.Sex hormone binding globulin:Glycoprotein binding sex steroids with high affinity as.Order:DHT>Testosterone>>Esterone/ estradiol. Due to higher SHBG affinity for DHT & Testosterone, SHBG variation has profound effects on androgens levels.",Physiology,following hormones affected change sex hormone binding globulin
Chronic carrier state is seen in all except,Measles,opa,Measles,Diptheria,Typhoid,Gonorrhea,Chronic carrier state is seen in all except Measles. ,Dental,Chronic carrier state seen except
Sealants are effective in,Initial caries,opa,Initial caries,Secondary caries,Recurrent caries,Rampant caries,Sealants are effective in Initial caries. ,Dental,Sealants effective
Which of the following change can be done in insulin structure so that there is least change in the function of insulin:,Interchange of B29 and B30,opb,Interchange of A1 & A4,Interchange of B29 and B30,Interchange of A5 & A6,Breaking disulphide linkages,"Which of the following change can be done in insulin structure so that there is least change in the function of insulin: Interchange of B29 and B30. Here is an additional explanation: In insulin structure.:- A chain has total 21 Amino Acid. 6th, 7th, 11th, and 20th Amino Acid Are Cysteine and these residuals are responsible for the formation of disulphide bond. If we break disulphide bond in a protein this will lead to denaturation of the protein. B Chain has total 30 amino acid.7th and 19th are cysteine So they also cannot be changed, or if changed will lead to denaturation of the protein Thus options C and D can be ruled out. Interchange of A1 & A4, i.e. glycine and glutamate, which can also be ruled out because glycine is an amino acid which is conserved during evolution in most of the proteins. Interchange of B29 and B30: - The insulin which is used in the treatment - Insulin lispro actually has a change in the carboxy terminal of B chain. So, changes can be made here for changing little bit of propeies and not going to damage the structure much. EXTRA EDGE: Gene coding for insulinis localized on11p15 site of chromosome.",Biochemistry,following change done insulin structure least change function insulin
A 15-year-oldboy presented with headache and blurring of vision. On examination there was diptopia on looking towards left in the right eye.What is your diagnosis?,Internuclear ophthalmoplegia,opb,Tb meningitis,Internuclear ophthalmoplegia,Cranial neuritis,Demyelination,"A 15-year-oldboy presented with headache and blurring of vision. On examination there was diptopia on looking towards left in the right eye.What is your diagnosis? Internuclear ophthalmoplegia. Here is an additional explanation: Ans: B. Internuclear ophthalmoplegiaDemyelinationRef Bilateral Internuclear ophthalmoplegio in Multiple sclerosis,iejm journal,20l6Typically, symptoms & examination findings i.e. diplopia on looking towards left in the right eye is characteristic of internuclear ophthalmoplegia.",Ophthalmology,presented headache blurring vision examination diptopia looking towards left right diagnosis
Duct of parotid gland crosses over masseter muscle and pierces the:,Buccinator muscle,opa,Buccinator muscle,Superior constrictor,Masseter,Zygomaticus major,Duct of parotid gland crosses over masseter muscle and pierces the: Buccinator muscle. ,Anatomy,Duct parotid gland crosses masseter muscle pierces
"A gravida 2 patient with previous LSCS comes at 37 weeks, has BP= 150/100 mm of hg. And on pervaginal examination, cervix is 50% effaced station-3, os is closed and pelvis is adequate. Protein uria is +1, Most appropriate step at the moment would be:",Induce labour,opc,Antihypertensive regime and wait for spontaneous labor,Wait and watch,Induce labour,caesarean section,"A gravida 2 patient with previous LSCS comes at 37 weeks, has BP= 150/100 mm of hg. And on pervaginal examination, cervix is 50% effaced station-3, os is closed and pelvis is adequate. Protein uria is +1, Most appropriate step at the moment would be: Induce labour. Here is an additional explanation: This patient has

BP: 150/100 mm hg
Proteinuria: +1

Therefore it is classified as mild preeclampsia
In mild preeclampsia – if gestational age is > than labour induced should be 37 wks (here in the question = gestational age is >37 weeks). Here BP is 150/100, (Therefore, it is not necessary to start antihypertensive). The NICE clinical guidelines suggest treating moderate hypertension (BP-150/100-159/109 mm Hg) with antihypertensives to keep B I P <150/80-100 range. The benefits or disadvantages of this intervention have not been elucidated by adequate clinical trials.
Fernando Arias 4/e, p 209.
“There is a consensus that if BP is below 150/100 mm Hg, there is no need for antihypertensive therapy. An exception may be if mild hypertension is associated with markers of potential severe disease or sign of organ dysfunction, (heavy proteinuria, liver dysfunction, hematological dysfuntion)”.
Fernando Arias 4/e, p 209.
Thus, in this patient, the role of antihypertensive is not confirmatory as BP is 150/100 mm Hg. But role of induction of labor is confirmed, as patient is 37 weeks pregnant with mild hypertension.
PIH is not a contraindication for VBAC (Vaginal birth after cesarean) and further more that the pelvis of this patient is adequate – so there is no harm in inducing labour, rather it is advantageous, because it will help in developing lower uterine segment. At any point of time; if there is scar tenderness or if patients BP rises immediately perform cesarean section’ therefore the best answer here is – Antihypertensive regime and then induce labour",Gynaecology & Obstetrics,gravida patient previous LSCS comes weeks mm hg pervaginal examination cervix effaced os closed pelvis adequate Protein uria appropriate step moment would
"Extremely axle insecticide according to WHO classification, are coded as:",Red,opa,Red,Green,Yellow,Blue,"Extremely axle insecticide according to WHO classification, are coded as: Red. Here is an additional explanation: Answer- A. RedExtremely toxic insecticide, according to WHO classification, is coded as Red.",Social & Preventive Medicine,Extremely axle insecticide according classification coded
"A 26 years old female presented with mild pain in lower abdomen. She has had 2 full-term normal delivery earlier. Her last menstrual period was 3 weeks back. On pelvic examination, you find a palpable mass in the adnexa. On USG pelvis, you find a 5 cm ovarian cyst. What should be your next step?",Observation and follow-up for cyst after 2-3 months,opa,Observation and follow-up for cyst after 2-3 months,CA-125 levels,Diagnostic exploratory laparotomy,CECT of pelvis,"A 26 years old female presented with mild pain in lower abdomen. She has had 2 full-term normal delivery earlier. Her last menstrual period was 3 weeks back. On pelvic examination, you find a palpable mass in the adnexa. On USG pelvis, you find a 5 cm ovarian cyst. What should be your next step? Observation and follow-up for cyst after 2-3 months. Here is an additional explanation: Ans: A. Observation and follow-up for cyst after 2-3 months(Ref: Shaw's 15/e p369)The patient is premenopausal, 3 weeks after LMP (likely to have ovulated) with a 5 cm cyst.The scenario presented here likely represents the patient having a corpus luteum cyst.These cysts need not be approached aggressively unless causing significant symptoms.",Gynaecology & Obstetrics,years old female presented mild pain lower abdomen normal delivery earlier last menstrual period weeks back pelvic examination find palpable mass adnexa USG pelvis find cm ovarian cyst next step
Removal of veebral disc can be done by all these approaches except:,Laminoplasty,opc,Laminotomy,Laminectomy,Laminoplasty,Hemilaminectomy,"Removal of veebral disc can be done by all these approaches except: Laminoplasty. Here is an additional explanation: Ans: C. Laminoplasty(Ref Maheshwari 5/e p257)Removal of veebral disc can be done by all these approaches except laminoplasty.Laminoplasty:Describes process of increasing available space for spinal cord by laminar arch reconstruction by posterior approach. Methods of Removal of DiscFenestrationThe ligamentum flavum bridging the two adjacent laminae is excised and the spinal canal at the level exposed.LaminotomyIn addition to fenestration, a hole is made in the lamina for wider exposure.Hemi-laminectomyThe whole of the lamina on one side is removedLaminectomyThe laminae on both sides, with the spinous process are removed. Such a wide exposure is required for a big, central disc producing cauda equina syndrome.",Surgery,Removal veebral disc done approaches except
Drug not used in H. pylori?,Mosapride,opc,Metronidazole,Omeprazole,Mosapride,Amoxicillin,Drug not used in H. pylori? Mosapride. ,Medicine,Drug used pylori
"All are true about nitric oxide, EXCEPT:",Acts via cAMP,opb,Regulates vasomotor tone,Acts via cAMP,Present in cigarette smoke,It is important in penile erection,"All are true about nitric oxide, EXCEPT: Acts via cAMP. Here is an additional explanation: Nitric oxide is a potent vasodilator and serves to regulate vascular tone. Produced in the endothelium it freely diffuses to the nearby smooth muscle cell and activates a soluble guanylyl cyclase (sGC) raising cytosolic cGMP concentration. This in turn activates a cGMP-dependent protein kinase (PKG).",Pharmacology,true nitric oxide EXCEPT
A patient of supracondylar humerus fracture is unable to flex interphalangeal joint of the thumb. Which nerve is most likely injured?,AIN,opc,Median nerve,Superficial branch of ulnar nerve,AIN,Pin,"A patient of supracondylar humerus fracture is unable to flex interphalangeal joint of the thumb. Which nerve is most likely injured? AIN. Here is an additional explanation: Flexion of interphalangeal joint of thumb is carried out by flexor pollicis longus. It is supplied by AIN, a branch of median nerve. Muscles which are supplied by AIN are flexor digitorum profundus (Lateral 1/2 ), flexor pollicis longus and pronator quadratus. PIN a branch of radial nerve causes finger drop Supra condylar fracture of Humerus - Order of nerve involvement in children:AIN > Median Nerve > Radial Nerve > Ulnar Nerve",Orthopaedics,patient supracondylar humerus fracture unable flex interphalangeal joint thumb nerve likely injured
Which of the following is not a cause of clubfoot in newborns?,Polio,opc,CTEV,Ahogryposis multiplex cngenita,Polio,Spina bifida,"Which of the following is not a cause of clubfoot in newborns? Polio. Here is an additional explanation: Answer- C. PolioEtiology of club footIdiopathic (MC) or CTEVSecondary club foot:Neurological disorders and neural tube defects (myelomeningocele, spinal dysraphism)Paralytic disorders as spina bifida, myelodysplasia and Freidreich's ataxiaAhrogryposis multiplex congenitaLarsen syndromeFreeman-Sheldon (Mobius) syndromeDiastrophic dwarfismSacral agenesis, tibial deficiency, constriction rings and amniotic bandsFetal alcohol syndromeDown's syndromeLarsen syndrome",Surgery,following cause clubfoot newborns
Which of the following clinical features of demyelinating myelopathy least likely suggests a progression to multiple sclerosis?,Absence of oligoclonal bands,opc,Complete cord transection,Bilateral visual loss,Absence of oligoclonal bands,Poor prognosis,"Which of the following clinical features of demyelinating myelopathy least likely suggests a progression to multiple sclerosis? Absence of oligoclonal bands. Here is an additional explanation: Answer: c. Absence of oligoclonal bands (Ref Harrison I9/e p2656. 18/e p3372)Oligoclonal bands are variable; but when bands are present, a diagnosis of MS is more likely, thus absence of oligoclonal bands suggests a less likely progression to MS.",Medicine,following clinical features demyelinating myelopathy least likely suggests progression multiple sclerosis
"According to 2010 ACLS guidelines, all of the following are true except",Atropine is for asystole,opb,"Defibrillation whenever done, it should be done with maximum available energy",Atropine is for asystole,Immediately call for help in witnessed or unwitnessed cases,Cardiac massage resuscitation immediately after defibrillation without waiting for assessing rhythm.,"According to 2010 ACLS guidelines, all of the following are true except Atropine is for asystole. ",Medicine,According ACLS guidelines following true except
"To assess outcome from labour, cost, time",Cost benefit,opa,Cost benefit,Cost Effectiveness,Cost utility,Risk Benefit,"To assess outcome from labour, cost, time Cost benefit. ",Dental,assess outcome labour cost time
Jersey finger is caused by rupture of:,Flexor digitorum profundus,opb,Flexor digitorum superficialis,Flexor digitorum profundus,Extensor digiti minirni,Extensor indicis proprius,"Jersey finger is caused by rupture of: Flexor digitorum profundus. Here is an additional explanation: Ans: B. Flexor digitorum profundus(Ref Bailey 26/e p465)Rugger jersey finger:Caused by rupture of flexor digitorum profundus.Injury to flexor profundus tendon at its attachment point to distal phalanx.Occurs mostly in American football when a player grabs another player's jersey with the tips of one or more fingers while that player is pulling or running away.""",Surgery,Jersey finger caused rupture
Which of the following is least likely in PDA?,"CO, wash out",opa,"CO, wash out",Necrotizing enterocolitis,Bounding pulse,Pulmonary hemorrhage,"Which of the following is least likely in PDA? CO, wash out. Here is an additional explanation: Ans. a. CO, wash outInfants and children with a small PDA are generally asymptomatic; infants with a large PDA present with signs of hea failure.'Premature newborns can't tolerate PDA, so it results in hea failure, respiratory distress or necrotizing enterocolitis.Premature infants may present with respiratory distress, apnea, worsening mechanical ventilation requirement or other serious complications (e.g. necrotizing enterocolitis)Signs of hea failure occur earlier in premature o infants than in full-term infants and may be more severe.A large ductal shunt in a premature infant often is a major contributor to the severity of the lung disease of prematurity",Pediatrics,following least likely PDA
Glycoprotein which is Lubricant & Protective,Mucin,opa,Mucin,Immunoglobulin,Ovalbumin,None of these,"Glycoprotein which is Lubricant & Protective Mucin. Here is an additional explanation: Answer- A. Mucin* glycoproteins found in the body is mucins, which are secreted in the mucus of the respiratory and digestive tracts. The sugars when attached to mucins give them considerable water-holding capacity and also make them resistant to proteolysis by digestive enzymes.* O-Linked Glycans: * Mucins, which are found extensively in salivary secretions, contain many sho O-linked glycans. * Increase the viscosity of the fluids",Biochemistry,Glycoprotein Lubricant Protective
Most common tumour of parotid gland is:,Pleomorphic adenoma,opa,Pleomorphic adenoma,Adenoid cystic carcinoma,Cylindroma,Epidermoid carcinoma,Most common tumour of parotid gland is: Pleomorphic adenoma. ,Pathology,common tumour parotid gland
Which of the following is not a function of guiding plane?,Engage the abutment tooth in such a manner as to resist displacement of restoration away from basal seat,opd,Provide one path of insertion and removal of the restoration,Provide stabilizing characteristics against horizontal rotation of denture,Eliminate detrimental strain to abutment teeth during placing or removing restoration,Engage the abutment tooth in such a manner as to resist displacement of restoration away from basal seat,Which of the following is not a function of guiding plane? Engage the abutment tooth in such a manner as to resist displacement of restoration away from basal seat. ,Dental,following function guiding plane
The means by which one part of R.P.D opposes the action of the retainer in the function is called,Reciprocation,opb,Tripoding,Reciprocation,Retention,Stress breaking,The means by which one part of R.P.D opposes the action of the retainer in the function is called Reciprocation. ,Dental,means one part opposes action retainer function called
All are true about metformin except:,Used in decompensated heart failure,opd,Inhibits cellular respiration in mitochondria,Excreted unchanged in urine,Reduce hepatic glucose production,Used in decompensated heart failure,All are true about metformin except: Used in decompensated heart failure. ,Pharmacology,true metformin except
Coenzyme A contains which of the following vitamins:,Pantothenic acid,opc,Biotin,Pyridoxine,Pantothenic acid,Niacin,Coenzyme A contains which of the following vitamins: Pantothenic acid. ,Biochemistry,Coenzyme contains following vitamins
"""Multifactorial Causation"" theory was given by",Pettenkofer of Munich,opb,McMohan Pugh,Pettenkofer of Munich,Winslow,Robert Koch,"""Multifactorial Causation"" theory was given by Pettenkofer of Munich. ",Dental,Multifactorial Causation theory given
Lateral movement of condyle takes place by:,Contralateral lateral pterygoid,opa,Contralateral lateral pterygoid,Ispilateral lateral pterygoid,Same side medial pterygoid,None of the above,"Lateral movement of condyle takes place by: Contralateral lateral pterygoid. Here is an additional explanation: Lateral movement of condyle is due to the contraction of contralateral pterygoid:
Contraction of right lateral pterygoid- Left lateral working movement.
Contraction of left lateral pterygoid- Right lateral working movement",Anatomy,Lateral movement condyle takes place
Causative organism for ANIIG is:,Fusospirochetal bacilli,opa,Fusospirochetal bacilli,Treponema pallidum and spirochetes,Streptococcus sanguis,Sptreptococcus epidermidis,Causative organism for ANIIG is: Fusospirochetal bacilli. ,Dental,Causative organism ANIIG
causes of thyroid storm,Poor Preoperative preparation of the patient,opd,ineffective pre-operative hormonal control,manhandling of the thyroid gland during surgery,parathyroid tail left after surgery,Poor Preoperative preparation of the patient,"causes of thyroid storm Poor Preoperative preparation of the patient. Here is an additional explanation: Answer- D. Poor Preoperative preparation of the patientThis is a rare but life-threatening complication of thyrotoxicosis.The most prominent signs are fever, agitation, delirium, tachycardia or atrial fibrillation and, in the older patient, cardiac failure. Thyrotoxic crisis is a medical emergency and has a moality of 10% despite early recognition and treatment.It is most commonly precipitated by an infection in a patient with previously unrecognized or inadequately treated thyrotoxicosis.It may also develop in known thyrotoxicosis sholy after thyroidectomy in an ill-prepared patient or within a few days of 131I therapy, when acute radiation damage may lead to a transient rise in serum thyroid hormone levels.Patients should be rehydrated and given propranolol, either orally (80 mg 4 times daily) or intravenously (1-5 mg 4 times daily). Sodium iodate (500 mg per day orally) will restore serum T3 levels to normal in 48-72 hours.This is a radiographic contrast medium that not only inhibits the release of thyroid hormones but also reduces the conversion of T4 to T3 and is, therefore, more effective than potassium iodide or Lugol's solution.",Medicine,causes thyroid storm
This curve is known as,Scammon’s curve,opb,Cephalocaudal curve,Scammon’s curve,S shaped curve,None of the above,This curve is known as Scammon’s curve. ,Dental,curve known
Lidocaine is used more commonly in dentistry because lidocaine :,Causes lesser incidence of allergic reactions,opc,Causes Less depression of CNS,Causes less cardiovascular collapse,Causes lesser incidence of allergic reactions,Is 50 times more potent than procaine,Lidocaine is used more commonly in dentistry because lidocaine : Causes lesser incidence of allergic reactions. ,Surgery,Lidocaine used commonly dentistry lidocaine
Which material is carried in a custom tray?,Metallic oxide paste,opc,High fusing compound,Reversible hydrocolloid,Metallic oxide paste,Irreversible hydrocolloid,Which material is carried in a custom tray? Metallic oxide paste. ,Dental,material carried custom tray
Surface roughness of an orthodontic mini-screw implant can be measured by:,Profilometer,opc,Gyrometer,Androidometer,Profilometer,Resonance analyzer,"Surface roughness of an orthodontic mini-screw implant can be measured by: Profilometer. Here is an additional explanation: The quality of the surface finish and polish can be characterized by the measurement of the surface roughness using a profilometer, an optical microscope or an SEM.
Reference: Phillips 12th ed page no 236",Dental,Surface roughness orthodontic implant measured
Which of the following is main cause of pain during pulpal injury progression?,Increased vascular permeability,opa,Increased vascular permeability,Decreased threshold of nerve fibres to pain,Arteriolar dilatation,Decrease pressure,Which of the following is main cause of pain during pulpal injury progression? Increased vascular permeability. ,Dental,following main cause pain pulpal injury progression
